strategy,chamfer,ate,rpe,rot_error,focal_error,pp_error,delta_consistency,global_accuracy,global_completeness
baseline_2views,1.5364259919876422,9.527333161789253,0.5340515178402613,10.823884637790014,0.4438770388204416,421.6740544593143,,0.0281929600620269,0.028375060474117
baseline_3views,1.489999767746993,8.917378652284954,0.918792694959776,19.259819795752065,0.4380775197498257,422.1957060174042,,0.0268892301010416,0.0337048171953832
baseline_4views,1.6260838054065612,6.746852432040213,1.290794083450207,25.63024244908633,0.4371960795995033,423.0885321364003,,0.0123001243145171,0.0172426826318335
strategy1_2views,1.492320617089991,8.985860998742961,0.5394986249396675,11.360482454229237,0.4438770388204416,421.6740544593143,-0.0441053748976512,0.0277627832024046,0.0265201177229479
strategy1_3views,1.483078051810338,8.841148290732772,0.938599085664386,19.318607847900957,0.4380775197498257,422.1957060174042,-0.0069217159366549,0.0264605960511359,0.0317013960881885
strategy1_4views,1.6072173542647723,6.428870649728216,1.2181246468891198,24.246599430808185,0.4371960795995033,423.0885321364003,-0.018866451141789,0.0125695434409523,0.01731870723616
strategy2_2views,1.5080385818175446,9.152955030530585,0.4902982802610506,10.081763672521156,0.4438770388204416,421.6740544593143,-0.0283874101700976,0.0279922913167778,0.0271105466860183
strategy2_3views,1.47954729856852,8.804642552378672,0.9247415565669972,18.967935576372913,0.4380775197498257,422.1957060174042,-0.0104524691784732,0.0260716674269055,0.0315899509295735
strategy2_4views,1.6054473232700242,6.427979575810514,1.2066690842396235,24.009002853799412,0.4371960795995033,423.0885321364003,-0.020636482136537,0.012529403253323,0.0173059644757757
strategy3_2views,1.3682989269113015,7.985151023657672,0.5631612869318742,10.55410226377017,0.4438770388204416,421.6740544593143,-0.1681270650763407,0.0256832486467052,0.0235280599903241
strategy3_3views,1.466028428523824,8.535400103912547,0.9069335897481826,19.145494471048437,0.4380775197498257,422.1957060174042,-0.0239713392231691,0.0251455206801089,0.0299586616213974
strategy3_4views,1.5837892072006905,6.12245627254845,1.196915120789946,23.992572537531434,0.4371960795995033,423.0885321364003,-0.0422945982058707,0.0119512157023643,0.0162744488216186
