strategy,chamfer,static_completeness,dynamic_completeness,static_accuracy,dynamic_accuracy,motion_gap,ate,rpe,rot_error,focal_error,pp_error,jitter_mean,jitter_std,jitter_p95,jitter_max,drift_mean,hf_jitter,delta_consistency
baseline_2views,0.0345736157375902,0.4844524096075306,0.4968906238100048,0.5902644820344426,0.5897552427778663,0.0005092392565762,0.1649620619797511,0.0856251227538764,1.5561609742151532,0.2160532277727694,75.28863291224467,0.012502,0.010309,0.025807,0.185673,0.031229,0.020298,
baseline_3views,0.0201311808912304,0.7353500117979598,0.6585051495859715,0.8077899627869163,0.7546346801571016,0.0531552826298146,0.0809923291414746,0.0409885463422403,1.2604496332873307,0.2046631022830188,74.24872092565401,0.006402,0.004438,0.011204,0.113805,0.011897,0.010685,
baseline_4views,0.020467061550644,0.7453270691225149,0.7179883353202435,0.8078330456379502,0.7959125124460515,0.0119205331918987,0.1023602710346625,0.0514557376943117,1.806342633259553,0.1854782191371765,77.9334390561064,0.010842,0.005601,0.019951,0.086539,0.022197,0.018301,
strategy1_2views,0.0421210474095432,0.3620449334552107,0.3411505877410889,0.4656829127848229,0.43055330293379,0.0351296098510329,0.1793752681189342,0.0957277792489852,1.912994096180888,0.2160532277727694,75.28863291224467,0.0093,0.009564,0.02029,0.176479,0.029878,0.015739,0.0075474316719529
strategy1_3views,0.0255188973412993,0.6085964693875099,0.4604448118505102,0.6810616891778015,0.5386301601367379,0.1424315290410635,0.0886237482678006,0.048734452177648,2.1633269229394947,0.2046631022830188,74.24872092565401,0.008391,0.00471,0.014268,0.116434,0.028446,0.014101,0.0053877164500688
strategy1_4views,0.0276170176974596,0.5756637327811789,0.5424706177398192,0.6563863696982614,0.6189758140003486,0.0374105556979126,0.1184121902676994,0.0742095615495078,2.552202957117828,0.1854782191371765,77.9334390561064,0.010767,0.005477,0.01977,0.085979,0.039722,0.018237,0.0071499561468155
strategy2_2views,0.0428337233835261,0.3636119788512262,0.3361753777433224,0.4625436368194228,0.4056170929432632,0.0569265438761594,0.1795279387471594,0.0968602053839053,1.9560593228734,0.2160532277727694,75.28863291224467,0.010651,0.010222,0.024262,0.181308,0.032928,0.018513,0.0082601076459358
strategy2_3views,0.023110502119953,0.6626016105384515,0.5218849542544921,0.7379877660290115,0.6174071641306257,0.1205806018983857,0.0853442816845938,0.0457428680697839,1.877710731679692,0.2046631022830188,74.24872092565401,0.006551,0.004453,0.011472,0.113789,0.020499,0.010956,0.0029793212287226
strategy2_4views,0.0260016596877344,0.608843616511522,0.5762856520360209,0.6925864838585459,0.6566531952073048,0.035933288651241,0.1150700455957563,0.0698302474776205,2.357506158643841,0.1854782191371765,77.9334390561064,0.008688,0.005188,0.017099,0.084881,0.033533,0.014737,0.0055345981370903
strategy3_2views,0.0416915627032615,0.3565989156206677,0.3827788941905116,0.4509312487416744,0.4738842987149273,-0.0229530499732528,0.1782233040711162,0.0960377907824637,1.8661828474316189,0.2160532277727694,75.28863291224467,0.012813,0.008965,0.022601,0.176627,0.043671,0.021236,0.0071179469656712
strategy3_3views,0.0247822604964344,0.6135174162709529,0.5092054530214222,0.6861871328801394,0.5970444308282932,0.0891427020518461,0.0860096163588693,0.0455000978686469,1.980086304040084,0.2046631022830188,74.24872092565401,0.010615,0.004182,0.014941,0.115947,0.043941,0.017385,0.004651079605204
strategy3_4views,0.025065152408399,0.6220702083182792,0.626133237980727,0.704323346066233,0.7068857082081039,-0.0025623621418708,0.1088252680915325,0.059455773535364,2.357422583904503,0.1854782191371765,77.9334390561064,0.012479,0.004607,0.019494,0.085041,0.051241,0.020658,0.0045980908577549
