strategy,chamfer,ate,rpe,rot_error,focal_error,pp_error,delta_consistency,global_accuracy,global_completeness
baseline_2views,0.0807933509689746,1.5746242808935291,1.690716137572368,7.173212928292591,0.3484458440805935,417.7138226044633,,0.1566422616656648,0.1270995054133201
baseline_3views,0.0744907767809847,1.536246452623862,1.4438435494604895,5.092776992241046,0.3486128284821763,418.4226271602042,,0.1306691024871958,0.1645778363644955
baseline_4views,0.0792327023924095,1.451685573808548,1.580028291633032,6.414990439879202,0.3276557647239497,419.0583303935728,,0.1174978666178892,0.1717750848449875
strategy1_2views,0.0949726921706304,1.49935906835427,1.6458361390182554,7.21099031298962,0.3484458440805935,417.7138226044633,0.0141793412016557,0.1400262168506995,0.1074803191639042
strategy1_3views,0.0812533311487975,1.4858511767584226,1.4103953295595744,5.4910337032967345,0.3486128284821763,418.4226271602042,0.0067625543678127,0.1279505326004076,0.1498740092596066
strategy1_4views,0.0876358395981537,1.425786531074974,1.5736483657671037,7.1732524084670315,0.3276557647239497,419.0583303935728,0.0084031372057441,0.1140232039521167,0.1606912575292788
strategy2_2views,0.0949726921706304,1.49935906835427,1.6458361390182554,7.21099031298962,0.3484458440805935,417.7138226044633,0.0141793412016557,0.1400262168506995,0.1074803191639042
strategy2_3views,0.0812533311487975,1.4858511767584226,1.4103953295595744,5.4910337032967345,0.3486128284821763,418.4226271602042,0.0067625543678127,0.1279505326004076,0.1498740092596066
strategy2_4views,0.0876358395981537,1.425786531074974,1.5736483657671037,7.1732524084670315,0.3276557647239497,419.0583303935728,0.0084031372057441,0.1140232039521167,0.1606912575292788
strategy3_2views,0.0949726921706304,1.49935906835427,1.6458361390182554,7.21099031298962,0.3484458440805935,417.7138226044633,0.0141793412016557,0.1400262168506995,0.1074803191639042
strategy3_3views,0.0812533311487975,1.4858511767584226,1.4103953295595744,5.4910337032967345,0.3486128284821763,418.4226271602042,0.0067625543678127,0.1279505326004076,0.1498740092596066
strategy3_4views,0.0876358395981537,1.425786531074974,1.5736483657671037,7.1732524084670315,0.3276557647239497,419.0583303935728,0.0084031372057441,0.1140232039521167,0.1606912575292788
