strategy,chamfer,ate,rpe,rot_error,focal_error,pp_error,delta_consistency,global_accuracy,global_completeness
baseline_2views,0.1046532263156522,8.375859266204088,0.3375743567167566,5.395226948984301,0.443877984100214,421.6740544593143,,0.1334877355968458,0.0791750384532205
baseline_3views,0.0927032261725114,8.440091757654539,0.2995740928723456,4.221235281344725,0.4392677966084957,422.3435741768983,,0.1406751367463043,0.1058550232501861
baseline_4views,0.0883345542757115,7.607602634187381,0.3955587933204742,4.130646796334272,0.4385601756333829,423.1226186719307,,0.1390291332819902,0.1243205926298005
strategy1_2views,0.1108366487772476,8.31970231743176,0.3575247026027376,6.38824890668158,0.443877984100214,421.6740544593143,0.0061834224615954,0.1298964703092228,0.0733107694684876
strategy1_3views,0.0962191129796538,8.345098715544536,0.3215029059800817,5.041581151536958,0.4392677966084957,422.3435741768983,0.0035158868071422,0.145968645828835,0.1052272544956835
strategy1_4views,0.0908325382942936,7.598524533611327,0.4171150534210089,4.5667263629410995,0.4385601756333829,423.1226186719307,0.0024979840185821,0.1372839851163169,0.1234917582910911
strategy2_2views,0.1097660692263973,8.332332229286873,0.3531084144046138,6.140184836350014,0.443877984100214,421.6740544593143,0.005112842910745,0.1287303064443341,0.0730141930641779
strategy2_3views,0.0962630424916718,8.35300036675026,0.3188912136790159,4.831330103860358,0.4392677966084957,422.3435741768983,0.0035598163191602,0.1432246532190016,0.104053122051659
strategy2_4views,0.0910271740865587,7.595497467209894,0.4211504117314291,4.500513442485977,0.4385601756333829,423.1226186719307,0.0026926198108471,0.1359177851503036,0.1226081947443385
strategy3_2views,0.1250622286721167,7.926505853342237,0.3310857951217375,6.142320451920303,0.443877984100214,421.6740544593143,0.0204090023564645,0.1210646040400049,0.0663521899593225
strategy3_3views,0.1006976277899779,8.208210161988315,0.3097600764506251,4.996598776692371,0.4392677966084957,422.3435741768983,0.0079944016174664,0.1410052285122029,0.1015301477196275
strategy3_4views,0.0959196712267208,7.511535734470658,0.4129740766966557,4.496490384631589,0.4385601756333829,423.1226186719307,0.0075851169510092,0.1299048100289417,0.1154313937850952
