strategy,chamfer,static_completeness,dynamic_completeness,static_accuracy,dynamic_accuracy,motion_gap,ate,rpe,rot_error,focal_error,pp_error,jitter_mean,jitter_std,jitter_p95,jitter_max,drift_mean,hf_jitter,delta_consistency
baseline_2views,0.0266790922742454,0.5392659106974504,0.6830829040039205,0.7765492470479208,0.6843281517476962,0.0922210953002245,0.4400378986228583,0.0459683869941299,1.485440017150676,0.1646986411962907,76.02016530682863,0.0066825370304285,0.0061562284827231,0.0126646403223275,0.1046421779319643,0.019749314431101,0.0108650147449224,
baseline_3views,0.0249826830550655,0.6676670604623884,0.5762087726896044,0.8051049200171526,0.6805369526843755,0.1245679673327772,0.2449738038054797,0.1013646548001804,1.8911894024647755,0.1495418670952657,72.45942080769048,0.0035784810548647,0.0014330401027108,0.0060937432572245,0.0209501080680638,0.0108111642301082,0.0057836276013403,
baseline_4views,0.0235171825688414,0.6445354082373893,0.6182125668874761,0.8399564329578169,0.7292806698974117,0.1106757630604051,0.3202805277035579,0.0838252657005237,2.192226246922351,0.1573022387209524,70.98237067160454,0.004187530488707,0.0025344427325762,0.0074259974993764,0.0447324516251682,0.0093398348428308,0.0067831465508788,
strategy1_2views,0.0343798227128328,0.4423774002619772,0.4744606471566982,0.6417274043037738,0.482095546743727,0.1596318575600467,0.4396925688453617,0.0506066737113209,2.1555939701222124,0.1646986411962907,76.02016530682863,0.012583456840366,0.0057779347756877,0.0172311319969594,0.1067531123757361,0.0674310810863971,0.0199982632882892,0.0077007304385873
strategy1_3views,0.0330676390507175,0.5466734407984128,0.412795897965281,0.653665590594863,0.503544450447752,0.1501211401471109,0.2661557721146491,0.104631006520647,2.4994456566655416,0.1495418670952657,72.45942080769048,0.0095469289459287,0.0026151239057071,0.0142494394443928,0.028939917590469,0.0464574638754128,0.0157763971481471,0.0080849559956519
strategy1_4views,0.0279600203005822,0.5581280640650189,0.5302680319348283,0.7379890998859804,0.6335179486050817,0.1044711512808985,0.32799714571736,0.096511411031445,2.8055633407847336,0.1573022387209524,70.98237067160454,0.0066778767853974,0.0027653235942124,0.0106794560328125,0.0460210271179675,0.0272387299686669,0.01089547756128,0.0044428377317406
strategy2_2views,0.0341716758382215,0.4389103302249589,0.4848813860686663,0.6424244652279627,0.5006992500663138,0.1417252151616488,0.4394222825598565,0.0503089638794545,2.1452503926735274,0.1646986411962907,76.02016530682863,0.0092093685176223,0.0057748512597754,0.0143361730501055,0.1051345432177185,0.0595088191330432,0.0152262916788458,0.007492583563976
strategy2_3views,0.0280006148984514,0.6100302636197659,0.5080124713744223,0.7314773229141033,0.6081084438634157,0.1233688790506875,0.2479637898301962,0.1018651491963731,2.2585130275905607,0.1495418670952657,72.45942080769048,0.0053435410838573,0.0017567263916134,0.0086121045984327,0.0227146414108573,0.027964187785983,0.0088779278565197,0.0030179318433859
strategy2_4views,0.0272983261071393,0.5671599398737113,0.5556301364517604,0.7412563754821784,0.6564018920720694,0.0848544834101088,0.3242416174147832,0.0903949118608728,2.7297949294690667,0.1573022387209524,70.98237067160454,0.0051067855209111,0.0025963235879316,0.0085626721847801,0.0447076154872774,0.0210307251662015,0.0083631361369043,0.0037811435382978
strategy3_2views,0.0333077714887279,0.4363998858675823,0.5101172574567617,0.6310299041679921,0.5149028530395591,0.116127051128433,0.438470487114273,0.0491801395202292,2.1025986725677464,0.1646986411962907,76.02016530682863,0.0106293902732431,0.0057284199167042,0.0158903677947818,0.1062843352556228,0.0541610483080148,0.017180240433663,0.0066286792144823
strategy3_3views,0.0284878913387583,0.5928632532461464,0.5175338608471681,0.7133381485832981,0.6179390360158503,0.0953991125674478,0.248680055891513,0.1021790817199285,2.224065645783252,0.1495418670952657,72.45942080769048,0.0081774379126727,0.0014152002462651,0.0106254777871071,0.023994961567223,0.0331146808341145,0.0134297021664678,0.0035052082836928
strategy3_4views,0.0301278008399413,0.5014555584767636,0.5438586696967532,0.6631626231267933,0.6446356453704141,0.0185269777563792,0.3208689390687408,0.0906387420282456,2.6141150075814332,0.1573022387209524,70.98237067160454,0.0086780012585222,0.0024249972309916,0.012062750570476,0.0469559825956821,0.0255997943691908,0.0144693988375365,0.0066106182710997
